,country,year,sex,age,suicides_no,population
283,Albania,2008,male,25-34 years,21.0,172855.0
284,Albania,2008,male,35-54 years,37.0,377119.0
285,Albania,2008,male,5-14 years,7.0,262464.0
286,Albania,2008,male,55-74 years,21.0,228672.0
287,Albania,2008,male,75+ years,2.0,44574.0
288,Albania,2009,female,15-24 years,0.0,270003.0
289,Albania,2009,female,25-34 years,0.0,182712.0
290,Albania,2009,female,35-54 years,0.0,394286.0
291,Albania,2009,female,5-14 years,0.0,236174.0
292,Albania,2009,female,55-74 years,0.0,233302.0
293,Albania,2009,female,75+ years,0.0,61582.0
294,Albania,2009,male,15-24 years,0.0,283448.0
295,Albania,2009,male,25-34 years,0.0,174955.0
296,Albania,2009,male,35-54 years,0.0,374365.0
297,Albania,2009,male,5-14 years,0.0,253007.0
298,Albania,2009,male,55-74 years,0.0,234570.0
299,Albania,2009,male,75+ years,0.0,47331.0
300,Albania,2010,female,15-24 years,6.0,263581.0
301,Albania,2010,female,25-34 years,6.0,183579.0
302,Albania,2010,female,35-54 years,12.0,394593.0
303,Albania,2010,female,5-14 years,2.0,223969.0
304,Albania,2010,female,55-74 years,7.0,241491.0
305,Albania,2010,female,75+ years,2.0,64415.0
306,Albania,2010,male,15-24 years,10.0,279508.0
307,Albania,2010,male,25-34 years,9.0,179720.0
308,Albania,2010,male,35-54 years,20.0,371611.0
309,Albania,2010,male,5-14 years,0.0,240939.0
310,Albania,2010,male,55-74 years,20.0,241852.0
311,Albania,2010,male,75+ years,2.0,50767.0
312,Albania,2011,female,15-24 years,,258006.0
313,Albania,2011,female,25-34 years,,184556.0
314,Albania,2011,female,35-54 years,,394638.0
315,Albania,2011,female,5-14 years,,210822.0
316,Albania,2011,female,55-74 years,,250641.0
317,Albania,2011,female,75+ years,,67649.0
318,Albania,2011,male,15-24 years,,275385.0
319,Albania,2011,male,25-34 years,,185898.0
320,Albania,2011,male,35-54 years,,368950.0
321,Albania,2011,male,5-14 years,,228071.0
322,Albania,2011,male,55-74 years,,250362.0
323,Albania,2011,male,75+ years,,54228.0
324,Albania,2012,female,15-24 years,,249730.0
325,Albania,2012,female,25-34 years,,187346.0
